cas,alkane,methyl,alkene,alkyne,alcohols,amines,nitriles,aromatics,alkyl halides,esters,ketones,aldehydes,carboxylic acids,ether,acyl halides,amides,nitro
100005,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
100016,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
100027,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
100043296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000493,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000506,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100057612,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100058193,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
100061,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
100062586,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
100062677,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
1000631,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100072,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1000868,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008738,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1000879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100094,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
100096591,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
100098213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100098224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100098235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100107,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10010932,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
100118,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
100120216,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
100123384,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
100129,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100136116,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
100141,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
100141308,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
100144294,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100144932,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
